Pearson Correlation,ID OOD Alignment,Percentage OOD retained,Stem,Spatial Reduction,CNN vs ViT,Augmentations,Resolution,ID Class Count,OverParam. Level,Depth
0.60,0.190,75.04,8,1,Transformer,0,64,100,66.22516556,18
0.58,0.032,51.09,8,1,Transformer,0,64,100,66.22516556,18
0.39,0.041,31.83,8,1,Transformer,0,64,100,66.22516556,18
0.34,0.019,34.58,8,1,Transformer,0,64,100,66.22516556,18
0.24,0.063,28.3,8,1,Transformer,0,64,100,66.22516556,18
0.55,0.129,68.03,8,1,Transformer,0,64,100,66.22516556,18
0.80,0.100,62.56,8,1,Transformer,0,64,100,66.22516556,18
0.77,0.213,82.31,8,1,Transformer,0,64,100,66.22516556,18
0.93,0.339,97.35,8,1,Transformer,2,64,100,66.22516556,18
0.97,0.091,87.16,8,1,Transformer,2,64,100,66.22516556,18
0.98,0.181,89.5,8,1,Transformer,2,64,100,66.22516556,18
0.96,0.073,83.33,8,1,Transformer,2,64,100,66.22516556,18
0.96,0.293,89.25,8,1,Transformer,2,64,100,66.22516556,18
0.98,0.267,97.05,8,1,Transformer,2,64,100,66.22516556,18
0.99,0.246,97.4,8,1,Transformer,2,64,100,66.22516556,18
0.99,0.363,99.34,8,1,Transformer,2,64,100,66.22516556,18
0.67,0.247,72.8,8,1,Transformer,0,128,100,66.22516556,18
0.58,0.048,53.89,8,1,Transformer,0,128,100,66.22516556,18
0.50,0.066,35.45,8,1,Transformer,0,128,100,66.22516556,18
0.46,0.031,35.93,8,1,Transformer,0,128,100,66.22516556,18
0.42,0.106,34.23,8,1,Transformer,0,128,100,66.22516556,18
0.60,0.168,70.56,8,1,Transformer,0,128,100,66.22516556,18
0.80,0.152,63.91,8,1,Transformer,0,128,100,66.22516556,18
0.80,0.284,83.52,8,1,Transformer,0,128,100,66.22516556,18
0.96,0.444,98.32,8,1,Transformer,2,128,100,66.22516556,18
0.98,0.118,91.25,8,1,Transformer,2,128,100,66.22516556,18
0.98,0.241,88.89,8,1,Transformer,2,128,100,66.22516556,18
0.98,0.109,89.68,8,1,Transformer,2,128,100,66.22516556,18
